frame.number,frame.time_relative,_ws.col.protocol,ip.src,ip.dst,udp.dstport,vxlan.vni,arp.src.proto_ipv4,arp.dst.proto_ipv4,icmp.type
7,23.416938000,IGMPv2,20.0.0.254,224.0.0.1,,,,,
9,32.105800000,IGMPv2,20.0.0.254,224.0.1.40,,,,,
10,35.757482000,IGMPv2,20.0.0.1,239.1.1.6,,,,,
11,35.757482000,IGMPv2,20.0.0.1,239.1.1.3,,,,,
12,35.757982000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
13,35.757982000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
14,35.904961000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
15,35.985406000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
16,36.564806000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
17,36.792722000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
18,36.922681000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
19,36.922681000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
20,37.013320000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
21,37.013821000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
22,37.052488000,ICMPv6,20.0.0.1,239.1.1.6,4789,66,,,
23,37.108570000,IGMPv2,20.0.0.1,239.1.1.3,,,,,
24,37.620550000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
25,39.333850000,IGMPv2,20.0.0.2,239.1.1.6,,,,,
26,39.333850000,IGMPv2,20.0.0.2,239.1.1.3,,,,,
27,39.335471000,ICMPv6,20.0.0.2,239.1.1.6,4789,66,,,
28,39.338706000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
29,39.489761000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
30,39.629039000,ICMPv6,20.0.0.2,239.1.1.6,4789,66,,,
31,39.693407000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
32,39.885326000,ICMPv6,20.0.0.2,239.1.1.6,4789,66,,,
33,40.493716000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
34,40.493716000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
35,40.631414000,ICMPv6,20.0.0.1,239.1.1.3,4789,33,,,
36,40.669624000,ICMPv6,20.0.0.2,239.1.1.3,4789,33,,,
